,style,title,link,artist,time,price,address
32,HipHop,404Rapper,https://www.showstart.com/event/163122,弹壳Danko/啊之/李京泽,2021/10/22 23:59,¥180起,Club SIR.TEEN
36,朋克,SUMMER SUNSHINE 夏日阳光乐队 全新专辑巡演 北京站,https://www.showstart.com/event/163209,SUMMER SUNSHINE,2021/10/15 20:30,¥80起,北京 MAO Livehouse
37,朋克,Casino Demon【Here Comes Your Man(Deluxe) 】巡演  北京站,https://www.showstart.com/event/163910,Casino Demon赌鬼乐队,2021/10/21 20:30,¥150起,糖果LIVE三层
39,朋克,|休息一夏呈现|【今宵多珍重】孤独的利里/退格/披萨脸,https://www.showstart.com/event/162114,孤独的利里_LonelyLeary/退格/Pizzaface披萨脸,2021/10/24 20:00,¥130起,北京 MAO Livehouse
40,朋克,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 19:00场 北京站,https://www.showstart.com/event/163876,拉披（Larry's Pizza）/自画像乐队/化骨龙乐队,2021/10/30 19:00,¥180起,北京 MAO Livehouse
43,独立,1701｜他方世界 「透气」2021 巡演 北京站,https://www.showstart.com/event/163340,他方世界,2021/10/17 20:30,¥100,疆进酒·OMNI SPACE
44,独立,XIAN乐计划Vol.25 | POST-X重启之夜,https://www.showstart.com/event/164070,Kenja Time乐队/The Clinic（克林尼克）,2021/10/20 20:00,¥99起,疆进酒·OMNI SPACE
45,独立,【秋天虫虫虫】悶饼+海德薇+梅西合唱团,https://www.showstart.com/event/160728,悶餅Moonband/海德薇乐队The HeDwiG/The Messy梅西合唱团,2021/10/23 20:00,¥139起,北京 MAO Livehouse
46,独立,予约——时过夏末2021巡演 北京站,https://www.showstart.com/event/162608,时过夏末,2021/10/23 20:30,¥120起,WeShow Live
47,独立,寸铁巡演 北京站,https://www.showstart.com/event/163076,寸铁,2021/10/23 20:30,¥250,糖果LIVE三层
52,独立,潮池蓝「深夜出走」2021巡演 北京站,https://www.showstart.com/event/161866,潮池蓝,2021/11/05 20:30,¥80起,北京 MAO Livehouse
